batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,451c0d,LZTRH,22.212,46.4073,12192.0,224.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,451e90,LZB302,17.3675,48.4872,11887.2,244.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452086,FIA5295,22.747,46.7335,10363.2,227.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452087,UBD424,29.8557,42.3053,10058.4,255.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452119,AMQ5031,21.3543,49.8209,3276.6,165.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452126,GPX8KW,18.7684,43.3574,10363.2,225.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452134,DAH3012,28.7093,41.1697,784.86,95.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,45213e,MAC9902,-3.3083,39.7978,11582.4,250.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452148,HLR777,15.7851,42.9411,12192.0,199.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,45214b,CGF1907,6.9727,51.038,1211.58,102.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,452164,LZB851,5.1175,50.9241,11582.4,231.85
