batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585cd,CEB131,122.7293,16.5033,9144.0,233.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758224,APG778,120.6207,14.2832,2194.56,104.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758303,PAL1820,120.7322,14.3493,1699.26,95.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758305,PAL737,120.7343,14.5209,2400.3,111.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758306,PAL311,113.906,22.3006,-1.0,10.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75831c,PAL732,103.2399,13.7187,11582.4,246.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758338,PAL403,121.022,14.5102,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75833a,PAL1862,121.0143,14.5057,-1.0,45.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758384,PAL473,122.569,16.2108,10424.16,235.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75839f,PAL535,113.8792,3.1512,10355.58,237.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583a8,PAL529,121.1055,14.5213,807.72,133.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583e2,PAL895,120.6906,14.6081,3093.72,118.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75847f,APG608,120.9879,14.1282,3954.78,133.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584a8,CEB188,126.7645,37.0637,2110.74,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584fa,PAL112,-118.4143,33.9451,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758528,APG772,120.5385,14.1605,2583.18,117.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585cd,CEB131,122.7293,16.5033,9144.0,233.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758224,APG778,120.6207,14.2832,2194.56,104.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758303,PAL1820,120.7322,14.3493,1699.26,95.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758305,PAL737,120.7343,14.5209,2400.3,111.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758306,PAL311,113.906,22.3006,-1.0,10.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75831c,PAL732,103.2399,13.7187,11582.4,246.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758338,PAL403,121.022,14.5102,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75833a,PAL1862,121.0143,14.5057,-1.0,45.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758384,PAL473,122.569,16.2108,10424.16,235.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75839f,PAL535,113.8792,3.1512,10355.58,237.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583a8,PAL529,121.1055,14.5213,807.72,133.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583e2,PAL895,120.6906,14.6081,3093.72,118.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75847f,APG608,120.9879,14.1282,3954.78,133.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584a8,CEB188,126.7645,37.0637,2110.74,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584fa,PAL112,-118.4143,33.9451,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758528,APG772,120.5385,14.1605,2583.18,117.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758224,APG778,120.6207,14.2832,2194.56,104.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758303,PAL1820,120.7322,14.3493,1699.26,95.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758305,PAL737,120.7343,14.5209,2400.3,111.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758306,PAL311,113.906,22.3006,-1.0,10.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75831c,PAL732,103.2399,13.7187,11582.4,246.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758338,PAL403,121.022,14.5102,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75833a,PAL1862,121.0143,14.5057,-1.0,45.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758384,PAL473,122.569,16.2108,10424.16,235.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75839f,PAL535,113.8792,3.1512,10355.58,237.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583a8,PAL529,121.1055,14.5213,807.72,133.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583e2,PAL895,120.6906,14.6081,3093.72,118.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75847f,APG608,120.9879,14.1282,3954.78,133.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584a8,CEB188,126.7645,37.0637,2110.74,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584fa,PAL112,-118.4143,33.9451,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758528,APG772,120.5385,14.1605,2583.18,117.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758224,APG778,120.6207,14.2832,2194.56,104.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758303,PAL1820,120.7322,14.3493,1699.26,95.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758305,PAL737,120.7343,14.5209,2400.3,111.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758306,PAL311,113.906,22.3006,-1.0,10.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75831c,PAL732,103.2399,13.7187,11582.4,246.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758338,PAL403,121.022,14.5102,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75833a,PAL1862,121.0143,14.5057,-1.0,45.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758384,PAL473,122.569,16.2108,10424.16,235.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75839f,PAL535,113.8792,3.1512,10355.58,237.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583a8,PAL529,121.1055,14.5213,807.72,133.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583e2,PAL895,120.6906,14.6081,3093.72,118.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75847f,APG608,120.9879,14.1282,3954.78,133.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584a8,CEB188,126.7645,37.0637,2110.74,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584fa,PAL112,-118.4143,33.9451,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758528,APG772,120.5385,14.1605,2583.18,117.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758224,APG778,120.6207,14.2832,2194.56,104.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758303,PAL1820,120.7322,14.3493,1699.26,95.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758305,PAL737,120.7343,14.5209,2400.3,111.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758306,PAL311,113.906,22.3006,-1.0,10.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75831c,PAL732,103.2399,13.7187,11582.4,246.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758338,PAL403,121.022,14.5102,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75833a,PAL1862,121.0143,14.5057,-1.0,45.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758384,PAL473,122.569,16.2108,10424.16,235.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75839f,PAL535,113.8792,3.1512,10355.58,237.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583a8,PAL529,121.1055,14.5213,807.72,133.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7583e2,PAL895,120.6906,14.6081,3093.72,118.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75847f,APG608,120.9879,14.1282,3954.78,133.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584a8,CEB188,126.7645,37.0637,2110.74,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7584fa,PAL112,-118.4143,33.9451,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758528,APG772,120.5385,14.1605,2583.18,117.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758539,APG773,121.0152,14.5087,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75853a,APG316,121.9397,12.1095,8534.4,221.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758558,PAL509,103.9933,0.9776,1805.94,115.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75857e,CEB390,122.1047,12.5559,10820.4,247.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758584,APG093,120.9817,14.4877,106.68,71.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7585b3,APG128,120.3896,22.4354,10668.0,235.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586b0,CEB501,103.8086,3.3327,9761.22,247.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7586cf,CEB310,121.003,14.501,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75871b,APG769,123.002,12.2795,10058.4,228.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758723,CEB462,120.9016,14.4433,640.08,73.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872c,CEB121,120.546,15.2985,2133.6,142.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75872d,CEB115,121.0165,14.5169,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758769,CEB363,120.3171,15.6195,6606.54,200.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75876b,CEB283,116.9753,7.2385,10180.32,242.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758770,CEB746,118.0531,14.2893,9806.94,243.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758792,CEB942,120.1348,14.7403,2758.44,150.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758793,CEB5129,120.9118,14.951,3985.26,145.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7587b7,RPC5219,97.2576,14.3371,12192.0,224.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,758087,GAP2776,121.0145,14.5098,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,75808c,GAP2825,123.1585,12.5115,10668.0,226.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,7580d5,PAL104,122.135,14.6807,6217.92,223.01
