batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1ac,LBT2598,9.2915,52.0603,2590.8,149.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1ae,LBT232,12.7665,48.5944,10972.8,233.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a262,TAR527,8.4722,47.4918,11277.6,238.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0291a4,N265AV,-86.5983,39.868,13106.4,221.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1a6,LBT517,9.9919,38.5984,9875.52,241.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1aa,DAH1006,4.7262,43.2443,10965.18,227.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1ab,LBT396,6.5204,46.0089,10965.18,228.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1ac,LBT2598,9.2915,52.0603,2590.8,149.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a1ae,LBT232,12.7665,48.5944,10972.8,233.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,02a262,TAR527,8.4722,47.4918,11277.6,238.29
